window,model,n,total_return,cagr,annual_vol,sharpe,max_drawdown,calmar,hit_rate
2011_euro_stress,SPY_BH,127,-0.038043825085854355,-0.07407492666173021,0.29920252475987397,-0.10873906288464275,-0.18366766739363605,-0.40330956293452036,0.5196850393700787
2011_euro_stress,v12,127,0.01098477748890403,0.02191438951712521,0.3890932201847111,0.2487528880626755,-0.21169524735623635,0.10351857111013991,0.5118110236220472
2011_euro_stress,v17_conservative,127,0.007822741509075026,0.015582045104490572,0.38971863409312657,0.2330235032650171,-0.21670210412723723,0.07190537058810251,0.5118110236220472
2015_2016_china_oil,SPY_BH,145,-0.07019334867246418,-0.11881194173858067,0.1975953413289508,-0.5490476354987934,-0.12820714748327544,-0.9267185494013088,0.4689655172413793
2015_2016_china_oil,v12,145,-0.05634245951662609,-0.09587351907980535,0.182078089190066,-0.47106396255590877,-0.16349151899913894,-0.5864127978425002,0.46206896551724136
2015_2016_china_oil,v17_conservative,145,-0.059409752548589045,-0.100974823874863,0.18230768397789623,-0.50126720745066,-0.16349151899913916,-0.6176150573008907,0.46206896551724136
2018_q4_fed_selloff,SPY_BH,63,-0.13532087923860425,-0.4409895981945131,0.236859415535881,-2.4356230039713798,-0.1920321505187884,-2.296436284253176,0.4126984126984127
2018_q4_fed_selloff,v12,63,-0.09871976521333692,-0.34015886226011205,0.20743306368687897,-2.013829200347892,-0.14855618128839465,-2.289765793048731,0.4603174603174603
2018_q4_fed_selloff,v17_conservative,63,-0.09944384635959536,-0.34227675213380804,0.21540659258566724,-1.9464491544005125,-0.15399519580872978,-2.222645650315832,0.4603174603174603
2020_covid_crash,SPY_BH,51,-0.13227773013710376,-0.5039466574520838,0.6551606154811898,-0.7513739318604981,-0.3371726149351547,-1.4946251122707672,0.45098039215686275
2020_covid_crash,v12,51,0.06222758506501913,0.34755241578142315,0.5385552121002862,0.806747105687154,-0.24165635063792357,1.438209320234935,0.47058823529411764
2020_covid_crash,v17_conservative,51,0.061455702503023346,0.3427208511516393,0.5386822437812123,0.8000037322113213,-0.24248040431208306,1.4133960726597203,0.47058823529411764
2022_bear_market,SPY_BH,251,-0.18175356833458578,-0.18240722529333386,0.24242952257539535,-0.7963355149849649,-0.24496379256133916,-0.744629332302891,0.4342629482071713
2022_bear_market,v12,251,0.00962774493947216,0.009666287283291997,0.22157078899013843,0.05877371634345354,-0.16945619387084643,0.05704298593333981,0.47410358565737054
2022_bear_market,v17_conservative,251,0.019294555840997596,0.019372166405252855,0.235890188525705,0.10953599178367199,-0.1725253114748,0.11228593786994821,0.47808764940239046
2023_low_vol_uptrend,SPY_BH,250,0.26175784483407116,0.26410695766618475,0.13075549714562182,1.4542704216761022,-0.0997433025769886,2.647866581942474,0.56
2023_low_vol_uptrend,v12,250,0.2655798518080372,0.26796676006953835,0.12687903647685964,1.518840318760883,-0.08803718739341249,3.0437905617324317,0.572
2023_low_vol_uptrend,v17_conservative,250,0.2718578586389273,0.2743070517195283,0.13222372894306955,1.5004261975895115,-0.0924763695403008,2.966239408868516,0.572
2024_low_vol_uptrend,SPY_BH,252,0.24886467843001703,0.24886467843001703,0.12568972917598548,1.4198095065810674,-0.08405606043204417,2.9606988139922854,0.5873015873015873
2024_low_vol_uptrend,v12,252,0.2764397732931878,0.2764397732931878,0.1431274486933369,1.4159595836373386,-0.09245899742544794,2.989863409627476,0.5873015873015873
2024_low_vol_uptrend,v17_conservative,252,0.28874842895775354,0.28874842895775354,0.14809900015342026,1.4381832854231664,-0.09436721361158595,3.0598384534933687,0.5873015873015873
