year,model,n,total_return,cagr,annual_vol,sharpe,max_drawdown,calmar,hit_rate
2009,SPY_BH,252,0.26351745599252085,0.26351745599252085,0.26633458201350085,1.0054649000225402,-0.27131660341595165,0.9712544410285351,0.5595238095238095
2010,SPY_BH,252,0.15056112703397906,0.15056112703397906,0.17929436010807545,0.8641011345409731,-0.15699671620563704,0.9590081287864102,0.5793650793650794
2011,SPY_BH,252,0.01894999192815372,0.01894999192815372,0.23017040432473168,0.19443375521401635,-0.1860547383515494,0.10185170287008663,0.5396825396825397
2012,SPY_BH,250,0.15990390278265743,0.16128117462300562,0.1273694979043119,1.2307844783998414,-0.09686958237607257,1.6649310409625875,0.548
2013,SPY_BH,252,0.3230776539186304,0.3230776539186304,0.11073936607849602,2.5795300512592134,-0.0555058943625768,5.820600814180483,0.5793650793650794
2014,SPY_BH,252,0.13463785732935518,0.13463785732935518,0.11244996128623615,1.1767631179494629,-0.07273469799585586,1.8510815475858073,0.5912698412698413
2015,SPY_BH,252,0.01234276061461026,0.01234276061461026,0.15431904968105947,0.1530504740349509,-0.11910232922060127,0.10363156367621498,0.4801587301587302
2016,SPY_BH,252,0.1199787903466667,0.1199787903466667,0.130613076612493,0.9084131900608892,-0.09187519920099929,1.3058887642157269,0.5436507936507936
2017,SPY_BH,251,0.21705394608174866,0.21800678791831962,0.06743842958639916,2.8182086595330307,-0.026100962649018067,8.352442430950767,0.5697211155378487
2018,SPY_BH,251,-0.045689767963204675,-0.045867559050771,0.17036824296048628,-0.3063023776273032,-0.19348907124046733,-0.23705503756213192,0.5298804780876494
2019,SPY_BH,252,0.31223840784781176,0.31223840784781176,0.12510920794931837,2.0675937192643157,-0.06618381900379056,4.717745402844295,0.5952380952380952
2020,SPY_BH,253,0.1833166740919081,0.18252967376004592,0.33397989161853975,0.6593479800250538,-0.3371726149351547,0.5413537923153995,0.5770750988142292
2021,SPY_BH,252,0.287287221198417,0.287287221198417,0.12988706858005358,2.006534508251131,-0.05114154030435647,5.617492541067335,0.5793650793650794
2022,SPY_BH,251,-0.18175356833458578,-0.18240722529333386,0.24242952257539535,-0.7963355149849649,-0.24496379256133916,-0.744629332302891,0.4342629482071713
2023,SPY_BH,250,0.26175784483407116,0.26410695766618475,0.13075549714562182,1.4542704216761022,-0.0997433025769886,2.647866581942474,0.56
2024,SPY_BH,252,0.24886467843001703,0.24886467843001703,0.12568972917598548,1.4198095065810674,-0.08405606043204417,2.9606988139922854,0.5873015873015873
2025,SPY_BH,250,0.1771906130702361,0.1787279039968297,0.19486743340353033,0.7243182709933583,-0.18755238717833622,0.9529492356014874,0.572
2026,SPY_BH,93,0.08691439029530157,0.2533653721389846,0.13836466798304245,1.434319299058868,-0.08884972579330952,2.851616815660035,0.5376344086021505
2009,v12,252,0.36547740381183513,0.36547740381183513,0.23843149616114184,1.4182257181808413,-0.17927153898353243,2.038680572968179,0.5515873015873016
2010,v12,252,0.1885551787050379,0.1885551787050379,0.20521259438804307,0.9371903860565435,-0.15151900927698247,1.2444324946736678,0.5873015873015873
2011,v12,252,0.08341819584456234,0.08341819584456234,0.2907791655040907,0.41899991344729065,-0.21169524735623624,0.3940485055112644,0.5357142857142857
2012,v12,250,0.11177414045382794,0.11271694257443632,0.12400514522377748,0.9161528140190301,-0.09858503465557455,1.1433473951521573,0.54
2013,v12,252,0.3230776539186304,0.3230776539186304,0.11073936607849602,2.5795300512592134,-0.0555058943625768,5.820600814180483,0.5793650793650794
2014,v12,252,0.1575230595701862,0.1575230595701862,0.1203042806626553,1.2736002657954681,-0.07961106476861446,1.9786578665669028,0.5912698412698413
2015,v12,252,0.013958241514266279,0.013958241514266279,0.13777853782265373,0.16537813099046647,-0.10398041776011036,0.13423913670426732,0.4880952380952381
2016,v12,252,0.19489538245466398,0.19489538245466398,0.1479791502417121,1.2557472005330403,-0.10146483654684035,1.9208169952029857,0.5317460317460317
2017,v12,251,0.21705394608174866,0.21800678791831962,0.06743842958639916,2.8182086595330307,-0.026100962649018067,8.352442430950767,0.5697211155378487
2018,v12,251,-0.0052946470685292235,-0.0053156851154561036,0.16011295770650755,-0.07642143417850744,-0.1500914975062646,-0.035416297417075436,0.5418326693227091
2019,v12,252,0.3727932502326685,0.3727932502326685,0.13658324724928994,2.235664914362194,-0.06778880253830022,5.499333758286154,0.5952380952380952
2020,v12,253,0.5455075637022329,0.5428504023415051,0.31742963081756886,1.5135162969596834,-0.24165635063792368,2.246373417907248,0.5810276679841897
2021,v12,252,0.3338959403198092,0.3338959403198092,0.1370592781924776,2.168180388024776,-0.05114154030435647,6.5288596771373815,0.5793650793650794
2022,v12,251,0.00962774493947216,0.009666287283291997,0.22157078899013843,0.05877371634345354,-0.16945619387084643,0.05704298593333981,0.47410358565737054
2023,v12,250,0.2655798518080372,0.26796676006953835,0.12687903647685964,1.518840318760883,-0.08803718739341249,3.0437905617324317,0.572
2024,v12,252,0.2764397732931878,0.2764397732931878,0.1431274486933369,1.4159595836373386,-0.09245899742544794,2.989863409627476,0.5873015873015873
2025,v12,250,0.36336453667648994,0.3667493910020041,0.17494443428945552,1.633057329019154,-0.15093663725874362,2.4298235184165575,0.564
2026,v12,93,0.08580156296155272,0.24989123024020143,0.130515470025102,1.4913431549291005,-0.0778861500327177,3.2084167741662593,0.5268817204301075
2009,v17_conservative,252,0.41743975152218504,0.41743975152218504,0.2554604999285095,1.4865011124122198,-0.17927153898353243,2.3285333181667522,0.5555555555555556
2010,v17_conservative,252,0.2043824823916891,0.2043824823916891,0.21611476337847785,0.9618308444403911,-0.1600617596006253,1.2768976356479507,0.5793650793650794
2011,v17_conservative,252,0.086770980645126,0.086770980645126,0.2954778944159756,0.4274680982498857,-0.21670210412723745,0.4004159580941498,0.5396825396825397
2012,v17_conservative,250,0.10517405478904962,0.1060585728967316,0.13950646422299176,0.7859418229091932,-0.11089224685190247,0.95641107388124,0.528
2013,v17_conservative,252,0.3682202320695125,0.3682202320695125,0.12792234982663012,2.511616068012778,-0.06454946080262092,5.70446642761982,0.5833333333333334
2014,v17_conservative,252,0.1535278134948186,0.1535278134948186,0.12654061065398775,1.18956886822497,-0.08060030492651382,1.9048043755516233,0.5912698412698413
2015,v17_conservative,252,0.012022959570806568,0.012022959570806568,0.14098126057929103,0.1512300648629114,-0.10806377766187059,0.11125799810946986,0.4880952380952381
2016,v17_conservative,252,0.20597533242374078,0.20597533242374078,0.15123191718148907,1.293020572718002,-0.10146483654684035,2.0300168948545445,0.5277777777777778
2017,v17_conservative,251,0.2363898945735754,0.23743558230445672,0.07229865636571113,2.8524421200320083,-0.028029658298056037,8.470869668822319,0.5697211155378487
2018,v17_conservative,251,-0.004740637869260933,-0.004759479855232729,0.1675118167075033,-0.062484776065146574,-0.15565326868084606,-0.030577448810224745,0.5418326693227091
2019,v17_conservative,252,0.40044261483357624,0.40044261483357624,0.1414314069703421,2.3049394588657544,-0.07212670384914732,5.551932827418541,0.5952380952380952
2020,v17_conservative,253,0.5871342512400255,0.584239088823989,0.32381242452358466,1.5719256561846688,-0.24248040431208273,2.409428054532803,0.5770750988142292
2021,v17_conservative,252,0.3864862513617726,0.3864862513617726,0.15522974981473583,2.1808769473176044,-0.05535527505160698,6.981922698450268,0.5793650793650794
2022,v17_conservative,251,0.019294555840997596,0.019372166405252855,0.235890188525705,0.10953599178367199,-0.1725253114748,0.11228593786994821,0.47808764940239046
2023,v17_conservative,250,0.2718578586389273,0.2743070517195283,0.13222372894306955,1.5004261975895115,-0.0924763695403008,2.966239408868516,0.572
2024,v17_conservative,252,0.28874842895775354,0.28874842895775354,0.14809900015342026,1.4381832854231664,-0.09436721361158595,3.0598384534933687,0.5873015873015873
2025,v17_conservative,250,0.3751134370987854,0.3786220933087978,0.18339598618419142,1.6132765922352084,-0.16024700606877018,2.3627405128948977,0.564
2026,v17_conservative,93,0.08384111851333609,0.24378570044537495,0.14769109444386966,1.3007394331193938,-0.088842621255244,2.744017420928869,0.5268817204301075
