metric,actual,random_mean,random_p95,p_random_beats_actual,n_random
total_return,40.178979427060355,8.98752067373125,12.996380123240716,0.0,10
sharpe,1.1446171740218405,0.6632363324952777,0.7722577032116691,0.0,10
calmar,0.979151782992054,0.3716278749004832,0.4696901321917445,0.0,10
max_drawdown,-0.24248040431208318,-0.376935828107949,-0.3417384889864369,0.0,10
