horizon_years,start,end,v17_return,v12_return,spy_return,v17_sharpe,v12_sharpe,spy_sharpe,v17_beats_spy_return,v17_beats_v12_return,v17_beats_spy_sharpe,v17_beats_v12_sharpe
1,2008-11-19,2009-11-18,0.5524523742085228,0.4973306643601678,0.40068071425119434,1.6910219199693006,1.6325667381805153,1.2116880444122338,True,True,True,True
1,2008-12-19,2009-12-18,0.4141218043653119,0.3641830068310845,0.27311896477395137,1.4757321094371556,1.4118808368986113,1.0292506532193861,True,True,True,True
1,2009-01-22,2010-01-21,0.501948714856886,0.45107093549814326,0.359736666321393,1.7240748861407476,1.6928913837871913,1.3406132238407764,True,True,True,True
1,2009-02-23,2010-02-22,0.5551119645545564,0.5110002545001053,0.4690438115854303,1.8415714713467162,1.863808589685311,1.720330009851319,True,True,True,False
1,2009-03-24,2010-03-23,0.508905742972239,0.4482216066685296,0.45664694587713384,1.939521924063789,1.9566995237490852,2.028312681433047,True,True,False,False
1,2009-04-23,2010-04-22,0.5196794393419628,0.4602308229218286,0.4602308229218286,2.2246326415421938,2.2849598732740746,2.2849598732740746,True,True,False,False
1,2009-05-22,2010-05-21,0.2859462055731219,0.25086018947148614,0.24760682464569705,1.2637118428868146,1.2309095719109004,1.3150445608036407,True,True,False,True
1,2009-06-23,2010-06-22,0.27633641434229617,0.24596231034128646,0.2507747492599772,1.2689840088124704,1.2458187739624673,1.3019516115107266,True,True,False,True
1,2009-07-23,2010-07-22,0.18376870397546874,0.1675626884188155,0.16752535505048138,0.9002937051044044,0.887919889613081,0.917481851079845,True,True,False,True
1,2009-08-21,2010-08-20,0.08282687996914584,0.07500470038062113,0.08515747982506894,0.47138717464194435,0.454177282021598,0.5257766383011224,False,True,False,True
1,2009-09-22,2010-09-21,0.1144002173779235,0.11576276890061354,0.09189209074636473,0.59219519604239,0.6206218564682185,0.5550327768632456,True,False,True,False
1,2009-10-21,2010-10-20,0.13408253105765033,0.13696514062957266,0.10062024636194966,0.671522667652196,0.7073506800050049,0.6018543577580487,True,False,True,False
1,2009-11-19,2010-11-18,0.136814214605395,0.13570313154029479,0.09939857939511132,0.6959906050357362,0.7147228899099651,0.6096489512228661,True,True,True,False
1,2009-12-21,2010-12-20,0.205200936809808,0.19082937100332287,0.15276262116794093,0.9633554428237425,0.9450158721056285,0.8729170833603496,True,True,True,True
1,2010-01-22,2011-01-20,0.23209342605750316,0.20776003186907044,0.16915206660231075,1.0786333862457327,1.0237548645074945,0.9640908217341372,True,True,True,True
1,2010-02-23,2011-02-18,0.32446880041194115,0.27474467901279764,0.23399544324354227,1.4621742239537339,1.3178985371130343,1.3070087919892728,True,True,True,True
1,2010-03-24,2011-03-22,0.17787058919169163,0.16013918003588512,0.1230534908380736,0.8674158551658113,0.8253546332626791,0.736408900558517,True,True,True,True
1,2010-04-23,2011-04-20,0.17528657251564606,0.1587010486925231,0.12166133164438508,0.858000747305897,0.8203163990020075,0.7306523804483993,True,True,True,True
1,2010-05-24,2011-05-20,0.31363921935837036,0.2867488564571783,0.24886406120560456,1.6189128511291795,1.591068146084359,1.501149493480782,True,True,True,True
1,2010-06-23,2011-06-21,0.28491194222062055,0.2568706359633701,0.20514019161410135,1.4817508336471965,1.4362121218720394,1.3676867999911835,True,True,True,True
1,2010-07-23,2011-07-21,0.3473052060849351,0.31507012233890874,0.2533195966679671,1.8182353120790462,1.7877104108064228,1.7459881565371718,True,True,True,True
1,2010-08-23,2011-08-19,0.1887809649473675,0.16372762663349905,0.06853869853807826,1.0321284832773627,0.964009495570525,0.4528263491256334,True,True,True,True
1,2010-09-22,2011-09-20,0.16155935300696833,0.13707970511505496,0.0752682045526969,0.8843034388706347,0.8073917089565729,0.47409640514726736,True,True,True,True
1,2010-10-21,2011-10-19,0.10944315850903763,0.0877197109066914,0.04808871008666582,0.5545463839996921,0.47985466301255403,0.32749201808943496,True,True,True,True
1,2010-11-19,2011-11-17,0.10670517713531669,0.088554307826054,0.03815982737382617,0.5070462383310111,0.4505533032930288,0.2775616951397217,True,True,True,True
1,2010-12-21,2011-12-19,0.02318167331913723,0.017348570118479678,-0.01433684420722059,0.22185466790486183,0.20062188032136055,0.04772361676364703,True,True,True,True
1,2011-01-21,2012-01-20,0.1249040078601289,0.11799228872140821,0.05182913784385468,0.5443555511698587,0.5271290812956337,0.33256141917011794,True,True,True,True
1,2011-02-22,2012-02-21,0.0958429537284915,0.10085128678437116,0.03570254603182055,0.4564704245140295,0.4743684671070794,0.2658008289794274,True,False,True,False
