period,model,n,total_return,cagr,annual_vol,sharpe,max_drawdown,calmar,hit_rate,avg_exposure,pct_levered,pct_short,tc_bps
full,SPY_BH,4398,11.502730232086712,0.15573171619615067,0.18280659187747392,0.8072333730577668,-0.3371726149351544,0.46187534010169023,0.5541155070486585,1.0,0.0,0.0,0.0
full,v12,4398,33.26726784140175,0.22446594106995454,0.18121031857569378,1.1313876579625588,-0.2413056955037738,0.9302140200269087,0.5570713960891315,0.9890177353342428,0.12369258753979082,0.020009095043201454,0.0
full,v17_conservative,4398,41.9357077700783,0.24039070306160837,0.18974481811538232,1.1570085928484548,-0.24210269387811878,0.992928658541188,0.5566166439290586,1.073524329240564,0.7285129604365621,0.020009095043201454,0.0
holdout_2021_plus,SPY_BH,1348,1.1236996887547628,0.15119254603841603,0.16906427892469064,0.717446411375831,-0.24496379256133927,0.6172036465370988,0.5459940652818991,1.0,0.0,0.0,0.0
holdout_2021_plus,v12,1348,2.267813482110947,0.24777739595999404,0.16209803343629298,1.2384858745995968,-0.16727989330939275,1.4812144547564783,0.5541543026706232,0.9002225519287834,0.09643916913946587,0.05118694362017804,0.0
holdout_2021_plus,v17_conservative,1348,2.5083308589314246,0.2644540999752554,0.17291049327320854,1.2483264670387422,-0.17020318540337165,1.5537552916445985,0.5548961424332344,0.9832789317507419,0.7574183976261127,0.05118694362017804,0.0
full,SPY_BH,4398,11.502730232086712,0.15573171619615067,0.18280659187747392,0.8072333730577668,-0.3371726149351544,0.46187534010169023,0.5541155070486585,1.0,0.0,0.0,5.0
full,v12,4398,32.13032725238984,0.22210091006177035,0.18116460934667736,1.1209509458683686,-0.24165635063792357,0.9190774812061391,0.5566166439290586,0.9890177353342428,0.12369258753979082,0.020009095043201454,5.0
full,v17_conservative,4398,40.178979427060355,0.23742512022281037,0.1896989915255521,1.1446171740218405,-0.24248040431208318,0.979151782992054,0.5559345156889495,1.073524329240564,0.7285129604365621,0.020009095043201454,5.0
holdout_2021_plus,SPY_BH,1348,1.1236996887547628,0.15119254603841603,0.16906427892469064,0.717446411375831,-0.24496379256133927,0.6172036465370988,0.5459940652818991,1.0,0.0,0.0,5.0
holdout_2021_plus,v12,1348,2.2205909138573903,0.24438656333486852,0.16206693853349396,1.2218895249255706,-0.16945619387084676,1.4421813552659568,0.5534124629080118,0.9002225519287834,0.09643916913946587,0.05118694362017804,5.0
holdout_2021_plus,v17_conservative,1348,2.452440063177128,0.2606637068831368,0.17287567181917424,1.231164299366332,-0.17252531147480032,1.510872257843802,0.5541543026706232,0.9832789317507419,0.7574183976261127,0.05118694362017804,5.0
full,SPY_BH,4398,11.502730232086712,0.15573171619615067,0.18280659187747392,0.8072333730577668,-0.3371726149351544,0.46187534010169023,0.5541155070486585,1.0,0.0,0.0,10.0
full,v12,4398,31.030646629585192,0.21973943867431256,0.18112342484393731,1.1104812391516057,-0.24200696121449083,0.9079880908035428,0.5561618917689859,0.9890177353342428,0.12369258753979082,0.020009095043201454,10.0
full,v17_conservative,4398,38.493550559571396,0.23446559309784787,0.1896575073413244,1.1321938548601735,-0.24285804487730966,0.9654429739657107,0.5552523874488404,1.073524329240564,0.7285129604365621,0.020009095043201454,10.0
holdout_2021_plus,SPY_BH,1348,1.1236996887547628,0.15119254603841603,0.16906427892469064,0.717446411375831,-0.24496379256133927,0.6172036465370988,0.5459940652818991,1.0,0.0,0.0,10.0
holdout_2021_plus,v12,1348,2.1740291380673953,0.24100336561045932,0.1620435809626762,1.2052292151146837,-0.17162777181133593,1.4042212578240858,0.5526706231454006,0.9002225519287834,0.09643916913946587,0.05118694362017804,10.0
holdout_2021_plus,v17_conservative,1348,2.3974167601230527,0.25688309252323704,0.1728480019584737,1.2139449467621481,-0.17484191035780872,1.469230643828665,0.5534124629080118,0.9832789317507419,0.7574183976261127,0.05118694362017804,10.0
full,SPY_BH,4398,11.502730232086712,0.15573171619615067,0.18280659187747392,0.8072333730577668,-0.3371726149351544,0.46187534010169023,0.5541155070486585,1.0,0.0,0.0,20.0
full,v12,4398,28.938279558645352,0.2150271581469576,0.1810546420289299,1.0894458247660133,-0.24270804870406193,0.88594984507145,0.5547976352887676,0.9890177353342428,0.12369258753979082,0.020009095043201454,20.0
