horizon_years,n_windows,pct_v17_beats_spy_return,pct_v17_beats_v12_return,pct_v17_beats_spy_sharpe,pct_v17_beats_v12_sharpe,median_return_delta_v17_minus_spy,median_return_delta_v17_minus_v12
1,198,0.9040404040404041,0.8232323232323232,0.7424242424242424,0.5707070707070707,0.04380778558193843,0.011220992374517347
3,174,0.9885057471264368,1.0,0.8448275862068966,0.735632183908046,0.18981828523644395,0.045616447092168055
5,150,1.0,1.0,0.8533333333333334,0.8533333333333334,0.5090160674268736,0.14901156098098878
