window,model,n,total_return,cagr,annual_vol,sharpe,max_drawdown,calmar,hit_rate
2011_euro_stress,SPY_BH,127,-0.038043452488795704,-0.07407421502741351,0.2992026529754332,-0.10807353537040874,-0.18366776177708488,-0.403305481107329,0.5196850393700787
2011_euro_stress,v12,127,0.010985222417048579,0.021915281911225604,0.38909260488875186,0.24875549148199733,-0.21169524486766134,0.10352278779301666,0.5118110236220472
2011_euro_stress,v17_conservative,127,0.013037985903867177,0.026036632536795556,0.3895179735161141,0.2592406705569186,-0.2140962661831476,0.12161180108822005,0.5118110236220472
2015_2016_china_oil,SPY_BH,145,-0.07019385546193335,-0.11881277644929389,0.1975951553652447,-0.5416809938141186,-0.1282075354556308,-0.9267222556540899,0.4689655172413793
2015_2016_china_oil,v12,145,-0.05634280322825258,-0.09587409140317271,0.1820780985209025,-0.47107082625851127,-0.16349177355232258,-0.5864153854352185,0.46206896551724136
2015_2016_china_oil,v17_conservative,145,-0.06123521715057956,-0.10400498822913873,0.18247138682417058,-0.5191528522578014,-0.16349177355232247,-0.6361481435385731,0.46206896551724136
2018_q4_fed_selloff,SPY_BH,63,-0.13532095581882653,-0.44098979622929435,0.23685953267813759,-2.3361918068527694,-0.19203236365248844,-2.296434766731987,0.4126984126984127
2018_q4_fed_selloff,v12,63,-0.09871975136306288,-0.3401588217001156,0.20743338261351774,-2.013774970279749,-0.14855668601024996,-2.289757740534449,0.4603174603174603
2018_q4_fed_selloff,v17_conservative,63,-0.09907685498518626,-0.3412039646279015,0.22226244322999208,-1.8723596054035223,-0.15720926689287218,-2.1703807375452597,0.4603174603174603
2020_covid_crash,SPY_BH,51,-0.13227805983429364,-0.5039475887592006,0.6551606292005596,-0.7450146390872477,-0.33717269301235475,-1.4946275282759476,0.45098039215686275
2020_covid_crash,v12,51,0.06222739118553133,0.3475512004627699,0.53855475171285,0.8068522867849134,-0.24165625844317729,1.438204839807584,0.47058823529411764
2020_covid_crash,v17_conservative,51,0.06222739118553133,0.3475512004627699,0.53855475171285,0.8068522867849134,-0.24165625844317729,1.438204839807584,0.47058823529411764
2022_bear_market,SPY_BH,251,-0.1817535570752853,-0.18240721399820592,0.24242952964073466,-0.7095877366979043,-0.24496388734674523,-0.7446289980694557,0.4342629482071713
2022_bear_market,v12,251,0.009627788067831045,0.009666330585130112,0.22157077942791986,0.058769622692751024,-0.16945604731755293,0.05704329080104086,0.47410358565737054
2022_bear_market,v17_conservative,251,0.031927525241650656,0.032056743966202284,0.25075803552084913,0.1666477943467269,-0.17229960585810444,0.18605233486489972,0.47808764940239046
2023_low_vol_uptrend,SPY_BH,250,0.2617577783124554,0.26410689048755676,0.130755513486913,1.8582969226788053,-0.0997432155556981,2.6478682185664604,0.56
2023_low_vol_uptrend,v12,250,0.26558003769954297,0.26796694780157604,0.12687904659510094,1.518975721554829,-0.08803708701060031,3.043796164783495,0.572
2023_low_vol_uptrend,v17_conservative,250,0.261536560746799,0.2638834881853187,0.13342396372585508,1.4266434060669184,-0.10026313511802698,2.631909403936775,0.572
2024_low_vol_uptrend,SPY_BH,252,0.2488647630411518,0.2488647630411518,0.125689607706342,1.8316234480615459,-0.08405607875457521,2.960699175223017,0.5873015873015873
2024_low_vol_uptrend,v12,252,0.27643988972057754,0.27643988972057754,0.14312735508515975,1.4158862155016816,-0.09245900951987018,2.9898642777604967,0.5873015873015873
2024_low_vol_uptrend,v17_conservative,252,0.30652201180356253,0.30652201180356253,0.15449666246196225,1.4735564233129301,-0.09790423111064961,3.1308351878800504,0.5873015873015873
