model,n,assumed_trials,annual_sharpe,daily_sharpe,deflated_threshold_daily,deflated_threshold_annual,deflated_sharpe_probability,skew,kurtosis
SPY_BH,4398,80,0.8072331441151703,0.05085090831851199,0.037395890625838674,0.5936413599104442,0.8110828841397997,-0.29764714993034985,13.955520000703075
v12,4398,80,1.1209507610974792,0.07061326061458348,0.03698306125514069,0.5870878968178233,0.9870883380434426,0.18457913869618414,12.288111355151885
v17_conservative,4398,80,1.144616948883987,0.07210409031372762,0.03703621312699752,0.5879316566257278,0.989851337189298,0.12226118053246898,10.79613307984879
