period,model,n,total_return,cagr,annual_vol,sharpe,max_drawdown,calmar,hit_rate,avg_exposure,pct_levered,pct_short
full,SPY_BH,4455,12.11304308899508,0.1567077134423409,0.18233843230132277,0.8900056363736745,-0.33717274248906415,0.4647698158679703,0.5539842873176206,1.0,0.0,0.0
full,v12,4455,33.74757535624587,0.22225945741801456,0.1807128452444366,1.1223128749719147,-0.24165634404692438,0.9197335923233889,0.5564534231200898,0.9891582491582491,0.12210998877665544,0.019753086419753086
full,v17_conservative,4455,50.470368164011404,0.24972759929343225,0.19548943702817387,1.1655048929925507,-0.24165634404692427,1.0333997242172162,0.5560044893378226,1.1150707070707069,0.5452300785634119,0.019753086419753086
holdout_2021_plus,SPY_BH,1405,1.2273671977773875,0.15446226681314967,0.168038288747753,0.9388137371079849,-0.24496376818974053,0.630551480958231,0.5459074733096085,1.0,0.0,0.0
holdout_2021_plus,v12,1405,2.3778038259129244,0.24398621880196147,0.16128620199589172,1.22387271061091,-0.16945569884169087,1.439823036166512,0.5530249110320284,0.904270462633452,0.09252669039145907,0.04911032028469751
holdout_2021_plus,v17_conservative,1405,2.845196776843514,0.27324113655570903,0.18074369962207076,1.2392416674403832,-0.17229931632347872,1.585851542456035,0.5537366548042705,1.0389750889679714,0.592170818505338,0.04911032028469751
