metric,base_model,years,wins,win_rate,binomial_p_value
total_return,SPY_BH,18,15,0.8333333333333334,0.0037689208984375
total_return,v12,18,14,0.7777777777777778,0.01544189453125
sharpe,SPY_BH,18,14,0.7777777777777778,0.01544189453125
sharpe,v12,18,11,0.6111111111111112,0.2403411865234375
calmar,SPY_BH,18,15,0.8333333333333334,0.0037689208984375
calmar,v12,18,11,0.6111111111111112,0.2403411865234375
max_drawdown,SPY_BH,18,8,0.4444444444444444,0.7596588134765625
max_drawdown,v12,18,0,0.0,1.0
