model,draws,sharpe_mean,sharpe_p05,sharpe_p50,sharpe_p95,prob_sharpe_gt_0,prob_sharpe_gt_spy,prob_sharpe_gt_v12
SPY_BH,20000,0.8055414944331025,0.4141661859732108,0.8066628054839816,1.1997099221693797,0.9998,,
v12,20000,1.1186156377059602,0.7235778899358286,1.1187755027496051,1.5137786142744136,1.0,,
v17_conservative,20000,1.1431371522879175,0.7425199575129201,1.1428129363057757,1.5398546965174367,1.0,0.8371,0.52855
