year,model,n,total_return,cagr,annual_vol,sharpe,max_drawdown,calmar,hit_rate
2009,SPY_BH,252,0.26351803472920965,0.26351803472920965,0.2663353049305912,1.0111120661959243,-0.2713173909535561,0.9712537548848774,0.5595238095238095
2010,SPY_BH,252,0.15056123786154063,0.15056123786154063,0.17929510076232366,0.871807192240167,-0.1569968794214327,0.9590078377123877,0.5793650793650794
2011,SPY_BH,252,0.01895025298471187,0.01895025298471187,0.23017030962280546,0.19671555712037397,-0.18605497565413975,0.10185297607917115,0.5396825396825397
2012,SPY_BH,250,0.15990318889628385,0.1612804541710915,0.12736964756144492,1.2376575651561648,-0.09686941676904737,1.6649264499610918,0.548
2013,SPY_BH,252,0.32307731538560613,0.32307731538560613,0.11073997365347936,2.5846743250165103,-0.055506236868613335,5.82055879865086,0.5793650793650794
2014,SPY_BH,252,0.13463796230041125,0.13463796230041125,0.11245032991323599,1.1796544743050565,-0.07273446998771316,1.8510887935686517,0.5912698412698413
2015,SPY_BH,252,0.012343107045583723,0.012343107045583723,0.15431920478901467,0.15647324747601746,-0.11910235128563018,0.10363445316022851,0.4801587301587302
2016,SPY_BH,252,0.119978938120475,0.119978938120475,0.13061264366280653,0.9328874323120608,-0.09187531021707895,1.3058887946826414,0.5436507936507936
2017,SPY_BH,251,0.21705386968249574,0.21800671115463532,0.06743813758889192,2.9591374698164223,-0.026100813671394385,8.352487163783838,0.5697211155378487
2018,SPY_BH,251,-0.04568991210404749,-0.04586770373891913,0.17036798712614143,-0.19044652495209113,-0.19348899418752064,-0.23705587974924436,0.5298804780876494
2019,SPY_BH,252,0.31223879602812077,0.31223879602812077,0.1251090085332074,2.2356010074933144,-0.06618327566155369,4.7177899991659435,0.5952380952380952
2020,SPY_BH,253,0.18331592904124716,0.18252893214780808,0.3339801046715423,0.6701106301723397,-0.3371726274233203,0.5413515727616968,0.5770750988142292
2021,SPY_BH,252,0.2872879211929993,0.2872879211929993,0.12988735714410685,2.0099971393209612,-0.051141512703367864,5.617509260223354,0.5793650793650794
2022,SPY_BH,251,-0.18175361295122938,-0.1824072700519489,0.2424294471185722,-0.7095883495504341,-0.24496371692705565,-0.7446297449277577,0.4342629482071713
2023,SPY_BH,250,0.26175786176827565,0.2641069747676428,0.13075558889916053,1.8582964379794382,-0.09974314636021331,2.6478709004611147,0.56
2024,SPY_BH,252,0.2488646804381116,0.2488646804381116,0.12568997128474996,1.831617983552761,-0.08405618936617665,2.960694296454179,0.5873015873015873
2025,SPY_BH,250,0.17719055511914705,0.1787278455058483,0.19486752400043278,0.9400728343721664,-0.18755237654025303,0.952948977788555,0.572
2026,SPY_BH,147,0.13290977104727353,0.2385292484801631,0.14007003916275307,1.5974508398537137,-0.08884968175523789,2.684638186293799,0.54421768707483
2009,v12,252,0.36547759843573413,0.36547759843573413,0.23843166607904256,1.4182267424588666,-0.17927174923347533,2.0386792676393917,0.5515873015873016
2010,v12,252,0.18855468469745262,0.18855468469745262,0.2052132671784541,0.9371830995231389,-0.15151981356991961,1.2444226286646207,0.5873015873015873
2011,v12,252,0.08341873237559971,0.08341873237559971,0.2907790504663357,0.41900181988361196,-0.21169557574644227,0.3940504286944298,0.5357142857142857
2012,v12,250,0.11177360508852652,0.11271640246858339,0.12400520716524249,0.9161523457470976,-0.09858485756500157,1.1433439703888018,0.54
2013,v12,252,0.32307731538560613,0.32307731538560613,0.11073997365347936,2.57951064854125,-0.055506236868613335,5.82055879865086,0.5793650793650794
2014,v12,252,0.15752339764032386,0.15752339764032386,0.12030465352257462,1.2735954035624693,-0.07961089763554652,1.978666267041174,0.5912698412698413
2015,v12,252,0.013958435615372133,0.013958435615372133,0.13777865177200696,0.16538231949409912,-0.10398056597994931,0.1342408120577431,0.4880952380952381
2016,v12,252,0.1948954259063005,0.1948954259063005,0.14797894215439922,1.2557262019076365,-0.10146474259067229,1.9208192021197454,0.5317460317460317
2017,v12,251,0.21705386968249574,0.21800671115463532,0.06743813758889192,2.8183503328904926,-0.026100813671394385,8.352487163783838,0.5697211155378487
2018,v12,251,-0.0052943081190084396,-0.005315344822735879,0.16011288725378722,-0.07642407052796103,-0.1500920809628532,-0.035413892516097445,0.5418326693227091
2019,v12,252,0.3727933296796171,0.3727933296796171,0.13658306225790195,2.2356045791617873,-0.0677882630213893,5.499378698669256,0.5952380952380952
2020,v12,253,0.5455066930497201,0.5428495366212851,0.3174294630390434,1.5136431570784015,-0.24165618508225484,2.2463713744239993,0.5810276679841897
2021,v12,252,0.3338968270820253,0.3338968270820253,0.13705955026260738,2.1681729331153323,-0.051141512703367864,6.528880540133826,0.5793650793650794
2022,v12,251,0.009628114670027,0.009666658501047865,0.2215706424901766,0.05877098587000233,-0.16945582448392815,0.05704530092422222,0.47410358565737054
