metric,actual,random_mean,random_p95,p_random_beats_actual,n_random
total_return,40.178967522252094,11.367951525640812,17.870022937539414,0.0,1000
sharpe,1.1446169488839868,0.7210821108273368,0.8484254207064821,0.0,1000
calmar,0.9791520782638684,0.4126999306969817,0.5356410496121218,0.0,1000
max_drawdown,-0.2424803102555887,-0.37449322663192053,-0.3142781192994553,0.0,1000
