,v12_signal,v17_signal,calm_bull_trigger,spy_above_trend,spy_momentum_13w,spy_rv_26w,spy_rv_ref_55p,vix,vix_ma_52w,yc_pos_steep,t10y2y,t10y2y_chg_13w,tier_intersection,tier_cb_only,tier_cb_weak,tier_cb_strong,tier_yc_only,spy_ma20,spy_dd_52w,vix3m,vix_contango,hy_oas,hy_oas_ma_26w,hy_oas_chg_4w,credit_ok,tier_nervous_market
2009-03-13,0.6,0.6,0,0,-0.13801904453494884,,,42.36000061035156,,1,1.91,0.08999999999999986,0,0,0,0,0,61.008992812212774,,41.83000183105469,0,,,,0,0
2009-03-20,1.5,1.5,0,0,-0.12394779840316628,,,45.88999938964844,,1,1.76,0.3700000000000001,0,0,0,0,0,60.758451249864365,,46.279998779296875,1,,,,0,0
2009-03-27,1.0,1.22,0,0,-0.056974162718942734,,,41.040000915527344,,1,1.88,0.6099999999999999,0,0,0,0,1,60.72422951146176,,42.09000015258789,1,,,,0,0
2009-04-03,1.0,1.22,0,0,-0.08710076878375672,,,39.70000076293945,,1,1.95,0.3699999999999999,0,0,0,0,1,60.791019439697266,,41.06999969482422,1,,,,0,0
2009-04-10,1.0,1.22,0,0,-0.029923036396431568,,,36.529998779296875,,1,2.0,0.32000000000000006,0,0,0,0,1,61.06688175201416,,38.529998779296875,1,,,,0,0
2009-04-17,1.0,1.22,0,0,0.031075197224551987,,,33.939998626708984,,1,1.99,0.3600000000000001,0,0,0,0,1,61.00613574981689,,36.59000015258789,1,,,,0,0
2009-04-24,1.0,1.22,0,0,0.05017747273700923,,,36.81999969482422,,1,2.04,0.21999999999999997,0,0,0,0,1,61.008267402648926,,37.810001373291016,1,,,,0,0
2009-05-01,1.0,1.22,0,0,0.0686835970845614,,,35.29999923706055,,1,2.29,0.3600000000000001,0,0,0,0,1,61.01725025177002,,35.84000015258789,1,,,,0,0
2009-05-08,1.0,1.22,0,0,0.07663231499752343,,,32.04999923706055,,1,2.29,0.22999999999999998,0,0,0,0,1,61.21672878265381,,32.81999969482422,1,,,,0,0
2009-05-15,1.0,1.22,0,0,0.07956621857915369,,,33.119998931884766,,1,2.26,0.33999999999999986,0,0,0,0,1,61.29662094116211,-0.045923814321709666,33.220001220703125,1,,,,0,0
2009-05-22,1.0,1.22,0,0,0.15806216596424671,0.3659704716701303,,32.630001068115234,,1,2.53,0.7099999999999997,0,0,0,0,1,61.1758544921875,-0.04258986788209507,33.040000915527344,1,,,,0,0
2009-05-29,1.0,1.22,0,0,0.2605478575202418,0.31954409264592404,,28.920000076293945,,1,2.55,0.5299999999999998,0,0,0,0,1,61.32585411071777,-0.004839826076862175,30.43000030517578,1,,,,0,0
2009-06-05,1.0,1.22,0,0,0.3816989402673798,0.3181985335813267,,29.6200008392334,,1,2.52,0.6000000000000001,0,0,0,0,1,61.69759654998779,0.0,31.600000381469727,1,,,,0,0
2009-06-12,1.0,1.22,0,0,0.25851643754317677,0.31800272026528814,,28.149999618530273,,1,2.51,0.5999999999999999,0,0,0,0,1,62.16016025543213,0.0,29.5,1,,,,0,0
2009-06-19,1.0,1.22,0,0,0.20662107963722476,0.32088129674942456,,27.989999771118164,,1,2.54,0.78,0,0,0,0,1,62.540156555175784,-0.026504549521689902,30.639999389648438,1,,,,0,0
2009-06-26,1.0,1.22,0,0,0.1317084569449516,0.3202528190322543,,25.93000030517578,,1,2.42,0.54,0,0,0,0,1,62.760999488830564,-0.028620494642209504,29.280000686645508,1,,,,0,0
2009-07-03,1.0,1.22,0,0,0.07188850909945654,0.30823625256758796,,27.950000762939453,,1,2.53,0.5799999999999998,0,0,0,0,1,63.060966682434085,-0.050091095021754795,30.530000686645508,1,,,,0,0
2009-07-10,1.0,1.22,0,0,0.030846164399444875,0.30372482790400096,,29.020000457763672,,1,2.41,0.41000000000000014,0,0,0,0,1,63.487678146362306,-0.06965830351577862,31.709999084472656,1,,,,0,0
2009-07-17,1.0,1.22,0,0,0.08706607891994933,0.31105691524351503,,24.34000015258789,,1,2.65,0.6599999999999999,0,0,0,0,1,64.27050285339355,-0.004399339919251566,28.649999618530273,1,,,,0,0
