date,spy_return,model_return,regime,v17_signal
2024-05-17,0.016531084814666253,0.017581403484693725,CALM_BULL_BOOST,1.07
2024-05-24,-1.9011822165015957e-05,-0.00010347701324442404,CALM_BULL_BOOST,1.07
2024-05-31,-0.003909778804461861,-0.004263322851587481,CALM_BULL_BOOST,1.07
2024-06-07,0.012590654932428613,0.013377325143931751,CALM_BULL_BOOST,1.07
2024-06-14,0.016423049801618017,0.01751202876858393,CALM_BULL_BOOST,1.07
2024-06-21,0.006423682942270137,0.00672840210745651,CALM_BULL_BOOST,1.07
2024-06-28,-0.0005327676725505048,-0.0005901256157909707,CALM_BULL_BOOST,1.07
2024-07-05,0.019146803573725002,0.020411433262386813,CALM_BULL_BOOST,1.07
2024-07-12,0.0096457942811079,0.010213855101872227,CALM_BULL_BOOST,1.07
2024-07-19,-0.019643129795628322,-0.02108786900231352,NORMAL,1.0
2024-07-26,-0.008288078967643053,-0.008322434683943336,NORMAL,1.0
2024-08-02,-0.021196009691553663,-0.021196009691553663,LEVERAGED_LONG,1.3
2024-08-09,0.00016886730152498863,-0.0009189940308513833,LEVERAGED_LONG,1.3
2024-08-16,0.040000762346892094,0.05190229026607307,LEVERAGED_LONG,1.7
2024-08-23,0.014107589454104286,0.022837400997787194,LEVERAGED_LONG,1.7
2024-08-30,0.002757278251182216,0.003644155898674839,LEVERAGED_LONG,1.7
2024-09-06,-0.041370932309769404,-0.07006786913854024,LEVERAGED_LONG,1.7
2024-09-13,0.040066208438946704,0.06738551715130248,LEVERAGED_LONG,1.2
2024-09-20,0.01420415861073887,0.016477179062180713,LEVERAGED_LONG,1.2
2024-09-27,0.005666444354547773,0.00666023568570151,LEVERAGED_LONG,1.2
2024-10-04,0.002642277063580556,0.0029064492157642174,LEVERAGED_LONG,1.2
2024-10-11,0.011518871759517602,0.013546185565903368,LEVERAGED_LONG,1.2
2024-10-18,0.008644003969271674,0.010175440256673607,LEVERAGED_LONG,1.2
2024-10-25,-0.009493692410700083,-0.011586078542302869,YC_BOOST,1.12
2024-11-01,-0.013816030114256916,-0.015654146692941295,YC_BOOST,1.12
2024-11-08,0.04754490324773486,0.05323225492614214,YC_BOOST,1.12
2024-11-15,-0.02079609679939165,-0.023422605530611595,YC_BOOST,1.12
2024-11-22,0.01666233204765577,0.018524136584114226,YC_BOOST,1.12
2024-11-29,0.01182183029763828,0.01310693345345193,YC_BOOST,1.12
2024-12-06,0.008729501853763644,0.009675117864241578,NORMAL,1.0
2024-12-13,-0.005922801697918034,-0.005982755061134992,YC_BOOST,1.12
2024-12-20,-0.01832208134500679,-0.020930084548777095,YC_BOOST,1.12
2024-12-27,0.006529650634676587,0.0072936840700288386,YC_BOOST,1.12
2025-01-03,-0.005142857142857338,-0.006000528922177617,YC_BOOST,1.12
2025-01-10,-0.019359756464314204,-0.02175700961125948,YC_BOOST,1.12
2025-01-17,0.029440876054893872,0.03279319851376994,YC_BOOST,1.12
2025-01-24,0.0173865135539637,0.019339042242961124,YC_BOOST,1.12
2025-01-31,-0.010115445775134457,-0.011424097017776913,YC_BOOST,1.12
2025-02-07,-0.0017447884245970213,-0.002113746242332959,YC_BOOST,1.12
2025-02-14,0.01486425035290706,0.0164831439079276,YC_BOOST,1.12
2025-02-21,-0.01600773636166153,-0.018013851928380564,YC_BOOST,1.12
2025-02-28,-0.009601017414932578,-0.010983562007322867,YC_BOOST,1.12
2025-03-07,-0.030731526954475785,-0.03460076091177311,YC_BOOST,1.12
2025-03-14,-0.0227636937341138,-0.02570444366785818,DEFENSIVE,0.6
2025-03-21,0.005093502450758569,0.004977676633639794,DEFENSIVE,0.6
2025-03-28,-0.014752302632263015,-0.006622276371130997,DEFENSIVE,0.6
2025-04-04,-0.0906669697524195,-0.05330301934563164,DEFENSIVE,0.6
