date,model_equity,spy_equity,model_daily_return,spy_daily_return,excess_daily_return,model_drawdown,spy_drawdown,weight_SPY,weight_SPXL,weight_SPXS,weight_TLT,weight_GLD,weight_SHY
2026-05-01,7811.279296875,7811.279296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-04,7780.639424891551,7782.663615104152,-0.003922516507085592,-0.0036633796697419507,-0.00025913683734364156,-0.003922516507085638,-0.0036633796697419507,0.965,0.035,0.0,0.0,0.0,0.0
2026-05-05,7847.211547651873,7845.0975893048835,0.008556124905023516,0.008022185884992261,0.0005339390200312551,0.0,0.0,0.965,0.035,0.0,0.0,0.0,0.0
2026-05-06,7963.923839767963,7954.14004818768,0.014873091085586184,0.013899439445017592,0.000973651640568592,0.0,0.0,0.965,0.035,0.0,0.0,0.0,0.0
2026-05-07,7937.636088191191,7929.751818363837,-0.003300854215293072,-0.0030661051573263043,-0.0002347490579667679,-0.0033008542152931364,-0.0030661051573261933,0.965,0.035,0.0,0.0,0.0,0.0
2026-05-08,8007.495390709914,7995.2204282579805,0.008801021077629504,0.008256073001242203,0.000544948076387301,0.0,0.0,0.965,0.035,0.0,0.0,0.0,0.0
2026-05-11,8026.899488034397,8013.430227137681,0.002423241772576692,0.002277585595431564,0.00014565617714512808,0.0,0.0,0.965,0.035,0.0,0.0,0.0,0.0
2026-05-12,8014.0295960352805,8001.29036121788,-0.0016033453537448654,-0.0015149399914519135,-8.840536229295188e-05,-0.001603345353744845,-0.0015149399914520245,0.965,0.035,0.0,0.0,0.0,0.0
2026-05-13,8061.923404690909,8046.0563648870475,0.005976245543106492,0.005594848036780231,0.00038139750632626077,0.0,0.0,0.965,0.035,0.0,0.0,0.0,0.0
2026-05-14,8129.929448612211,8109.573995784053,0.00843546142868727,0.007894256268722755,0.0005412051599645151,0.0,0.0,0.965,0.035,0.0,0.0,0.0,0.0
2026-05-15,8024.970131738116,8012.021076488678,-0.012910237110607604,-0.012029351892724582,-0.000880885217883022,-0.01291023711060757,-0.012029351892724693,0.965,0.035,0.0,0.0,0.0,0.0
